"<HEADER software/>"
EwEVersion,"6.7.0.17300 (compiled 6/04/2021)"
Date,"29/06/2021 4:46:24 PM"
"<HEADER ecopath/>"
ModelName,SEF2021
"<HEADER ecosim/>"
EcosimScenario,"zero fishing"
TimeSeries,-
StartYear,1994
"<HEADER end/>"

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2014,0.02163603,0.02074035,0.1223103,0.8075511,0.8106224,0.2910511,0.09830967,0.1628455,0.342517,0.3350854,0.4651388,0.09246504,0.3396868,0.3958451,0.5097393,0.2112736,0.1319135,0.7567677,0.2306797,0.2965421,0.5044412,0.5914937,0.7233079,0.6481462,0.5748066,0.3750863,0.7829621,0.1960299,0.1984815,0.1695929,0.1668013,0.2209707,0.2444752,0.2937674,0.5337474,0.3857783,0.2997934,0.2988974,0.4950112,0.1523023,0.8786942,0.4440329,0.2849261,0.1230632,0.339252,2.74296,2.293616,7.526476,1.610848,2.469464,6.12577,48.12059,5.245564,4.981207,19.87257,298.8434,4.406768,0,0
2015,0.02170361,0.02074234,0.1223287,0.8071634,0.8097246,0.2910924,0.09841106,0.1627056,0.3422776,0.3352329,0.4646957,0.09246001,0.3402777,0.3964061,0.509784,0.2113575,0.1318613,0.7575586,0.2306724,0.2965278,0.5046586,0.5927755,0.7210894,0.6478016,0.5749537,0.3756709,0.7843477,0.1956596,0.1985391,0.1695678,0.1664735,0.2207262,0.2444736,0.2944215,0.5342931,0.3855052,0.2997916,0.2985254,0.4953386,0.152399,0.8808365,0.4434048,0.2851323,0.1231303,0.3393335,2.753663,2.290226,7.528665,1.610017,2.469964,6.111932,48.13629,5.236165,4.970483,19.8735,298.8806,4.404894,0,0
2016,0.02176332,0.02074263,0.1223426,0.8067703,0.8088689,0.2911297,0.09848428,0.1625637,0.3420322,0.3353136,0.4642942,0.09243643,0.3407509,0.3968557,0.5098046,0.211383,0.131818,0.7581003,0.230656,0.2965008,0.5048723,0.5939643,0.7190142,0.6474739,0.5750985,0.3762188,0.7854431,0.1953387,0.1985962,0.169534,0.1661613,0.2204962,0.2444721,0.2950809,0.5347963,0.385288,0.2997853,0.2981856,0.4956363,0.1524845,0.8827887,0.4427992,0.2853046,0.1231774,0.3393787,2.763785,2.287038,7.530844,1.609218,2.470517,6.098797,48.15042,5.227304,4.960492,19.87452,298.9153,4.403169,0,0
2017,0.02181547,0.02074151,0.1223523,0.8063774,0.8080604,0.2911633,0.09853085,0.1624212,0.3417841,0.3353375,0.4639297,0.09239706,0.341122,0.3972085,0.5098045,0.2113589,0.1317817,0.7584267,0.2306324,0.2964632,0.5050807,0.5950661,0.7170739,0.6471625,0.5752398,0.3767326,0.786283,0.1950639,0.1986519,0.1694925,0.1658642,0.2202795,0.2444707,0.2957384,0.5352638,0.38512,0.2997755,0.2978766,0.4959083,0.1525601,0.884568,0.4422159,0.2854475,0.1232055,0.339393,2.773344,2.284043,7.532995,1.608455,2.471104,6.086405,48.16315,5.218963,4.95118,19.8756,298.9476,4.401574,0,0
2018,0.02186042,0.02073922,0.1223581,0.8059888,0.8073017,0.2911936,0.09855249,0.1622795,0.341536,0.3353132,0.4635983,0.09234428,0.3414048,0.3974769,0.5097868,0.2112933,0.1317512,0.7585681,0.2306035,0.2964169,0.5052826,0.596087,0.71526,0.6468672,0.575377,0.3772145,0.7868987,0.1948319,0.1987057,0.1694442,0.1655817,0.2200752,0.2444695,0.2963879,0.5357016,0.3849949,0.2997628,0.297597,0.496158,0.1526271,0.8861914,0.4416541,0.2855647,0.1232159,0.3393809,2.782361,2.281234,7.535103,1.607731,2.471707,6.074771,48.17458,5.211116,4.942497,19.8767,298.9777,4.400093,0,0
2019,0.02189855,0.02073599,0.1223604,0.8056076,0.8065941,0.2912211,0.09855089,0.1621397,0.3412902,0.335248,0.4632969,0.09228028,0.3416112,0.397672,0.5097539,0.2111928,0.1317256,0.7585509,0.2305706,0.2963636,0.5054775,0.5970331,0.7135647,0.6465873,0.5755095,0.3776665,0.7873185,0.1946393,0.1987572,0.1693898,0.1653133,0.2198824,0.2444684,0.2970245,0.5361134,0.3849069,0.2997479,0.2973451,0.4963878,0.1526864,0.8876734,0.4411135,0.2856596,0.1232099,0.3393464,2.790859,2.2786,7.53716,1.607044,2.472316,6.063886,48.18484,5.203743,4.934398,19.87783,299.0056,4.398711,0,0
2020,0.02193024,0.020732,0.1223593,0.8052361,0.8059378,0.2912457,0.09852774,0.162003,0.3410488,0.3351488,0.4630224,0.09220692,0.3417518,0.3978037,0.5097082,0.2110634,0.1317041,0.7583987,0.230535,0.2963044,0.5056649,0.5979102,0.7119808,0.6463222,0.5756367,0.3780904,0.7875672,0.1944827,0.1988062,0.1693302,0.1650585,0.2197003,0.2444676,0.297644,0.5365031,0.3848507,0.2997313,0.297119,0.4966001,0.1527392,0.8890274,0.4405934,0.285735,0.1231885,0.3392931,2.79886,2.276133,7.539159,1.606398,2.472919,6.053724,48.19404,5.196819,4.926841,19.87896,299.0316,4.397416,0,0
2021,0.02195592,0.02072742,0.1223552,0.8048759,0.8053321,0.291268,0.09848478,0.1618701,0.3408133,0.3350214,0.4627722,0.09212586,0.3418356,0.3978806,0.5096516,0.2109105,0.1316859,0.7581322,0.2304976,0.2962408,0.5058447,0.5987237,0.7105015,0.646071,0.5757583,0.3784879,0.7876677,0.1943587,0.1988526,0.169266,0.1648169,0.2195281,0.2444669,0.2982435,0.5368733,0.3848219,0.2997134,0.2969168,0.4967968,0.152786,0.8902659,0.4400932,0.2857934,0.123153,0.339224,2.806388,2.273824,7.541094,1.605789,2.473509,6.044258,48.20229,5.190321,4.919786,19.88009,299.0558,4.396198,0,0
2022,0.02197599,0.02072239,0.1223484,0.8045282,0.8047753,0.2912879,0.09842367,0.1617416,0.3405848,0.3348706,0.4625441,0.09203862,0.3418709,0.3979104,0.509586,0.2107384,0.1316705,0.7577699,0.2304592,0.2961734,0.5060168,0.5994787,0.7091203,0.6458333,0.5758743,0.3788606,0.78764,0.1942639,0.1988964,0.1691978,0.164588,0.2193653,0.2444663,0.2988206,0.5372263,0.384816,0.2996944,0.2967367,0.4969794,0.1528278,0.8913996,0.4396123,0.2858368,0.1231046,0.3391416,2.813465,2.271665,7.542963,1.605218,2.474081,6.035445,48.20964,5.184226,4.913196,19.8812,299.0782,4.395049,0,0
2023,0.02199084,0.02071701,0.122339,0.8041937,0.8042641,0.2913059,0.09834597,0.161618,0.3403644,0.334701,0.4623361,0.09194646,0.3418647,0.3979,0.5095128,0.210551,0.1316575,0.7573276,0.2304204,0.2961033,0.5061813,0.6001801,0.7078314,0.6456085,0.5759844,0.3792097,0.7875019,0.1941954,0.1989376,0.1691261,0.1643712,0.2192113,0.2444659,0.2993736,0.5375639,0.3848295,0.2996748,0.2965766,0.4971493,0.152865,0.8924384,0.4391499,0.2858671,0.1230443,0.3390485,2.820113,2.269646,7.544763,1.604683,2.474631,6.027249,48.21623,5.178512,4.907037,19.8823,299.099,4.39396,0,0
