year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2008,0.013492252,0.006073914,0.047419557,0.003136915,0.00149896,0.287870689,0.006391367,1.369660189,1.305930264,1.17000995,2.447401745,3.68092283,0.562660627,0.453902502,6.342949509,1.228422475,0.831206611,0.276917138,0.238355115,0.006662144,8.095331358,5.874940906,11.59440249,7.248934132,5.800594942,2.016778447,0.555017838,0.118113274,2.968704755,0.060825014,0.161779885,0.136465847,0.078221972,0.014516801,0.121863556,0.288131764,2.58014334,0.212457374,1.754951415,0.092815314,7.854625679,0.1351317,0.355056717,0.046764605,0.099490392,37.47445906,2.43298617,0.991437526,47.37904019,11.70719453,4.454792547,0.224343009,51.1614634,17.34799396,29.93706038,14.98254849,0.010114105,199.8309906,8.84E-02
2009,0.013527381,0.006079192,0.047709482,0.003148076,0.001534561,0.295964374,0.006522375,1.380018274,1.313087283,1.186922046,2.460856156,3.729526604,0.570437022,0.458052938,6.367344689,1.249279459,0.844442126,0.287169762,0.240701852,0.006747418,8.17701317,5.921735113,11.74357181,7.312526142,5.84658108,2.021031693,0.560911605,0.119254822,2.994591594,0.061609814,0.162365648,0.137383843,0.079095389,0.014690045,0.122647267,0.289275533,2.592770792,0.213809222,1.778798802,0.094152317,7.897542085,0.1354093,0.35513274,0.047294476,0.100922447,37.43651613,2.431931396,0.991259278,47.38528377,11.70963557,4.455406943,0.224302689,51.20155292,17.36706425,29.93484255,14.98126981,0.010116519,199.8193113,8.74E-02
2010,0.013562511,0.00608447,0.047999408,0.003159237,0.001570162,0.304058058,0.006653382,1.390376358,1.320244302,1.203834143,2.474310566,3.778130377,0.578213417,0.462203374,6.391739868,1.270136443,0.857677642,0.297422386,0.243048589,0.006832692,8.258694981,5.968529321,11.89274113,7.376118151,5.892567219,2.02528494,0.566805372,0.12039637,3.020478434,0.062394615,0.162951411,0.13830184,0.079968806,0.014863289,0.123430978,0.290419302,2.605398245,0.21516107,1.802646189,0.09548932,7.940458491,0.1356869,0.355208762,0.047824346,0.102354501,37.39857321,2.430876623,0.99108103,47.39152736,11.7120766,4.45602134,0.224262368,51.24164245,17.38613453,29.93262472,14.97999113,0.010118934,199.8076321,8.64E-02
2011,0.01359764,0.006089749,0.048289333,0.003170398,0.001605763,0.312151743,0.00678439,1.400734443,1.327401321,1.220746239,2.487764976,3.826734151,0.585989812,0.466353809,6.416135047,1.290993427,0.870913157,0.30767501,0.245395325,0.006917966,8.340376792,6.015323528,12.04191045,7.43971016,5.938553358,2.029538186,0.572699139,0.121537918,3.046365274,0.063179415,0.163537175,0.139219836,0.080842222,0.015036534,0.124214689,0.291563071,2.618025698,0.216512918,1.826493575,0.096826323,7.983374896,0.1359645,0.355284785,0.048354216,0.103786555,37.36063028,2.429821849,0.990902782,47.39777094,11.71451764,4.456635736,0.224222047,51.28173198,17.40520481,29.93040689,14.97871245,0.010121349,199.7959528,8.55E-02
2012,0.01363277,0.006095027,0.048579258,0.003181559,0.001641363,0.320245428,0.006915398,1.411092528,1.33455834,1.237658335,2.501219387,3.875337925,0.593766207,0.470504245,6.440530226,1.311850411,0.884148672,0.317927634,0.247742062,0.007003239,8.422058604,6.062117736,12.19107977,7.50330217,5.984539496,2.033791432,0.578592906,0.122679466,3.072252113,0.063964215,0.164122938,0.140137832,0.081715639,0.015209778,0.1249984,0.29270684,2.630653151,0.217864766,1.850340962,0.098163326,8.026291302,0.1362421,0.355360808,0.048884087,0.10521861,37.32268736,2.428767075,0.990724534,47.40401453,11.71695868,4.457250132,0.224181726,51.32182151,17.42427509,29.92818906,14.97743377,0.010123763,199.7842736,8.45E-02
2013,0.013667899,0.006100305,0.048869184,0.003192721,0.001676964,0.328339113,0.007046405,1.421450613,1.341715358,1.254570432,2.514673797,3.923941698,0.601542601,0.474654681,6.464925406,1.332707395,0.897384187,0.328180259,0.250088799,0.007088513,8.503740415,6.108911943,12.34024909,7.566894179,6.030525635,2.038044678,0.584486673,0.123821014,3.098138953,0.064749015,0.164708701,0.141055828,0.082589055,0.015383022,0.125782112,0.293850608,2.643280604,0.219216614,1.874188349,0.099500329,8.069207708,0.1365197,0.35543683,0.049413957,0.106650664,37.28474443,2.427712302,0.990546286,47.41025811,11.71939972,4.457864528,0.224141406,51.36191104,17.44334538,29.92597123,14.97615509,0.010126178,199.7725943,8.36E-02
2014,0.013703028,0.006105583,0.049159109,0.003203882,0.001712565,0.336432798,0.007177413,1.431808698,1.348872377,1.271482528,2.528128208,3.972545472,0.609318996,0.478805117,6.489320585,1.353564379,0.910619702,0.338432883,0.252435536,0.007173787,8.585422226,6.155706151,12.48941842,7.630486189,6.076511774,2.042297925,0.59038044,0.124962562,3.124025792,0.065533816,0.165294464,0.141973825,0.083462472,0.015556267,0.126565823,0.294994377,2.655908057,0.220568462,1.898035736,0.100837332,8.112124113,0.1367973,0.355512853,0.049943828,0.108082719,37.24680151,2.426657528,0.990368038,47.4165017,11.72184075,4.458478925,0.224101085,51.40200057,17.46241566,29.9237534,14.97487642,0.010128592,199.7609151,8.26E-02
2015,0.013738158,0.006110861,0.049449035,0.003215043,0.001748166,0.344526483,0.00730842,1.442166783,1.356029396,1.288394625,2.541582618,4.021149245,0.617095391,0.482955553,6.513715764,1.374421363,0.923855217,0.348685507,0.254782273,0.00725906,8.667104038,6.202500358,12.63858774,7.694078198,6.122497912,2.046551171,0.596274207,0.12610411,3.149912632,0.066318616,0.165880227,0.142891821,0.084335889,0.015729511,0.127349534,0.296138146,2.668535509,0.22192031,1.921883123,0.102174335,8.155040519,0.1370749,0.355588875,0.050473698,0.109514773,37.20885858,2.425602755,0.99018979,47.42274528,11.72428179,4.459093321,0.224060764,51.44209009,17.48148594,29.92153557,14.97359774,0.010131007,199.7492358,8.16E-02
2016,0.013773287,0.006116139,0.04973896,0.003226204,0.001783767,0.352620168,0.007439428,1.452524868,1.363186415,1.305306721,2.555037028,4.069753019,0.624871786,0.487105989,6.538110943,1.395278347,0.937090732,0.358938131,0.257129009,0.007344334,8.748785849,6.249294566,12.78775706,7.757670208,6.168484051,2.050804417,0.602167974,0.127245658,3.175799472,0.067103416,0.166465991,0.143809817,0.085209305,0.015902755,0.128133245,0.297281915,2.681162962,0.223272158,1.945730509,0.103511338,8.197956925,0.1373525,0.355664898,0.051003568,0.110946828,37.17091566,2.424547981,0.990011542,47.42898887,11.72672283,4.459707717,0.224020443,51.48217962,17.50055623,29.91931774,14.97231906,0.010133422,199.7375566,8.07E-02
2017,0.013808417,0.006121418,0.050028886,0.003237365,0.001819368,0.360713853,0.007570436,1.462882953,1.370343434,1.322218818,2.568491439,4.118356792,0.632648181,0.491256425,6.562506123,1.416135331,0.950326247,0.369190755,0.259475746,0.007429608,8.83046766,6.296088774,12.93692638,7.821262217,6.21447019,2.055057663,0.608061741,0.128387207,3.201686311,0.067888217,0.167051754,0.144727813,0.086082722,0.016076,0.128916956,0.298425684,2.693790415,0.224624007,1.969577896,0.104848342,8.24087333,0.1376301,0.355740921,0.051533439,0.112378882,37.13297274,2.423493208,0.989833293,47.43523245,11.72916387,4.460322113,0.223980123,51.52226915,17.51962651,29.91709991,14.97104038,0.010135836,199.7258774,7.97E-02
