,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
51,Polychaeta,,,,,,,,0.00303978,0.208533,0.000139887,,0.000577313,,,0.000202851,0.473620,0.00151793,,0.00747152,,0.0495882,0.464359,0.000452885,0.143690,,0.0498954,0.000492261,0.210000,0.0000203494,,,0.00794850,,,0.367285,0.136585,0.0142570,0.0388379,0.00404040,,,,,,,,,,,0.0500000,,,,,
52,"Gelatinous nekton",,,,0.00500000,,,,0.000884000,,0.901186,0.412439,0.000739699,,,0.0106618,0.0000092869,0.0239679,,0.347283,0.400000,0.0734678,,,0.00331499,0.0562370,,0.0000303561,,0.000549433,0.700000,0.00212164,0.257809,,,0.00331357,0.0000008341,,0.00147801,,,,0.0500000,,0.00900000,,,,,,,,,,,
53,Euphausids,,0.100000,,,0.0500000,0.01000000,,0.000177000,0.0000172261,0.00507138,0.149972,0.0895649,0.0303114,0.00462676,0.0939475,0.0809061,0.00124224,,0.000313117,,0.285022,0.0158468,0.0524423,0.0158264,0.00475830,,,,0.00131617,,,0.00382598,,,0.0511702,0.00762019,,,,,,0.300000,,,,0.785000,0.0700000,,,,,,,,
54,"L zooplankton",,,,,,,,0.00171000,0.0575580,0.000106927,0.115899,0.283905,0.0360602,0.00585168,0.364689,0.0795705,0.0487578,,0.0398787,,0.211736,0.00515640,0.0841561,0.101949,0.194460,0.152713,0.0796664,0.150000,0.00406309,,0.00909275,0.0408843,,0.399202,0.00754714,0.0452205,0.580723,0.0000098600,0.00303030,,0.239000,0.300000,0.0500000,0.762000,0.200000,,0.0500000,,0.100000,,,,,,
55,"Sm zooplankton",,,,,,,,0.0260000,0.126300,0.00222304,0.256402,0.125714,0.00548976,0.00319764,0.190243,0.0787981,0.0500000,,0.0380235,,0.0841349,0.00566193,0.00383260,0.289753,0.0820160,0.0114453,0.000156908,,0.00400000,,0.000909275,0.000993562,,0.0998004,0.0919573,0.0827538,0.000602410,0.0000295855,,,0.707000,0.140000,0.0500000,0.0470000,,0.143000,,0.200000,0.400000,0.400000,0.0500000,0.950000,0.200000,0.200000,
56,"Primary producers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0240000,,,,,,,0.800000,,,0.500000,0.0500000,0.800000,0.800000,1.000000
57,"Benthic producer",,,,,,,,0.000190000,,0.0000718852,,,,,,,,,,,,,,,0.0000347123,0.00317198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,0.0500000,0.400000,,,,
59,Discards,,,0.0300000,0.0400000,,,,0.0280000,0.0101007,,,,,,,,,,,,,,,,,,0.00250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,0.470000,0.800000,0.000000,0.500000,0.000000,0.500000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,Sum,1.000729,1.000000,1.000000,1.000000,1.000000,1.000000,0.999279,1.000000,1.000045,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000013,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999532,1.000000,0.999802,0.999987,1.000000,1.000289,1.000000,0.999971,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000115,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
,"(1 - Sum)",-0.000729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000721,0.000000,-0.000045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000468,0.000000,0.000198,0.000013,0.000000,-0.000289,0.000000,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
