<HEADER software/>,,,
EwEVersion,6.7.0.17300 (compiled 6/04/2021),,
Date,29/6/2021 16:45,,
<HEADER ecopath/>,,,
ModelName,SEF2021,,
<HEADER ecosim/>,,,
EcosimScenario,base model 2B,,
TimeSeries,Time Series SEF2020rev,,
StartYear,1994,,
<HEADER end/>,,,
,,,
Data,MortFleetGroup,,
,,,
year,fleet,group,value
1995,3,24,9.73E-06
1995,3,25,9.88E-08
1995,3,26,4.58E-05
1995,3,27,0.005440515
1995,3,28,3.56E-05
1995,3,29,8.19E-05
1995,3,30,0.01398775
1995,3,31,6.70E-07
1995,3,40,0.001948611
1995,3,41,2.42E-06
1995,3,42,6.03E-05
1995,3,43,0.000767857
1995,3,45,0.000185801
1995,3,47,3.31E-07
1995,4,3,0.000801226
1995,4,6,6.32E-07
1995,4,7,0.000162381
1995,4,8,0.001340905
1995,4,9,0.000287333
1995,4,10,5.04E-05
1995,4,12,6.04E-05
1995,4,13,6.79E-05
1995,4,14,0.001676024
1995,4,15,1.21E-05
1995,4,16,0.000595941
1995,4,17,0.006384288
1995,4,18,0.000881818
1995,4,19,0.000734458
1995,4,20,0.000153847
1995,4,21,1.14E-05
1995,4,22,1.82E-05
1995,4,23,3.37E-05
1995,4,24,5.61E-06
1995,4,25,2.21E-06
1995,4,26,5.57E-05
1995,4,27,0.001864871
1995,4,28,0.000318628
1995,4,29,0.006832016
1995,4,40,4.72E-05
1995,4,42,3.51E-05
1995,4,43,0.000908772
1995,4,45,7.69E-06
1995,4,47,0.00010269
1995,4,48,0.000160659
1995,4,49,1.62E-05
1995,4,50,0.000141628
1995,4,52,4.45E-06
1995,5,3,0.00030477
1995,5,8,0.000160081
1995,5,9,3.95E-05
1995,5,10,0.00231707
1995,5,12,8.51E-05
1995,5,13,0.003405166
1995,5,14,0.001435444
1995,5,15,7.06E-06
1995,5,16,1.28E-05
1995,5,17,0.002334121
1995,5,18,0.000490758
1995,5,19,0.001204382
1995,5,20,6.08E-05
1995,5,21,4.34E-06
1995,5,22,1.80E-06
1995,5,23,9.46E-07
1995,5,24,4.98E-08
1995,5,25,2.04E-06
1995,5,26,0.000694603
1995,5,27,0.000294448
1995,5,29,0.000151509
1995,5,30,8.06E-05
1995,5,31,0.002192464
1995,5,33,0.000108055
1995,5,47,0.00010068
1995,5,48,2.86E-05
1995,5,49,1.03E-05
1995,5,50,0.000146816
1995,5,52,3.16E-07
1995,8,8,1.96E-07
1995,8,13,0.00136382
1995,8,16,7.69E-06
1995,8,24,6.24E-07
1995,8,27,0.001032308
1995,8,29,2.31E-07
1995,8,47,4.23E-06
1995,8,50,1.35E-05
1995,9,8,0.004048123
1995,9,9,0.006324612
1995,9,10,0.000166759
1995,9,12,4.51E-07
1995,9,13,0.000157069
1995,9,14,0.000898415
1995,9,15,9.46E-06
1995,9,16,0.000270669
1995,9,17,0.02981828
1995,9,18,6.85E-05
1995,9,19,2.62E-05
1995,9,20,0.003442123
1995,9,21,0.000104227
1995,9,22,0.003580227
1995,9,24,0.001696403
1995,9,25,3.75E-06
1995,9,26,0.00458388
1995,9,27,0.001426961
1995,9,28,0.000289543
1995,9,29,1.78E-05
1995,9,30,5.48E-06
1995,9,35,2.02E-05
1995,9,40,9.94E-06
1995,9,42,1.23E-05
1995,9,43,4.20E-05
1995,9,45,1.15E-06
1995,10,6,0.02915237
1995,10,7,0.04099151
1995,10,8,7.43E-06
1995,10,29,6.44E-05
1995,10,43,7.21E-05
1995,10,45,0.000210186
1995,11,6,0.05362931
1995,11,7,0.03041929
1995,11,8,0.001058287
1995,11,9,0.000130336
1995,11,10,0.00040017
1995,11,12,2.25E-05
1995,11,15,1.75E-05
1995,11,17,0.01804997
1995,11,24,5.60E-05
1995,11,25,5.15E-06
1995,11,26,0.000932537
1995,11,27,0.000498022
1995,11,28,0.001779431
1995,11,29,0.00182834
1995,11,38,3.58E-06
1995,11,41,4.75E-06
1995,11,42,0.003244145
1995,11,43,0.02119762
1995,11,45,0.0397853
1995,11,47,9.73E-05
1995,12,11,4.43E-06
1995,12,15,1.67E-06
1995,12,41,1.38E-06
1996,1,3,0.01146912
1996,1,8,0.004994224
1996,1,9,0.003731102
1996,1,10,0.06856615
1996,1,11,4.65E-06
1996,1,12,0.01441239
1996,1,13,0.034998
1996,1,14,0.02933464
1996,1,15,0.002438392
1996,1,16,0.01836501
1996,1,17,0.06890202
1996,1,18,0.02874053
1996,1,19,0.03935289
1996,1,20,0.1009012
1996,1,21,0.000163358
1996,1,22,1.76E-06
1996,1,23,3.97E-06
1996,1,24,0.002437461
1996,1,25,0.000153065
1996,1,26,0.005545948
1996,1,27,0.003415285
1996,1,29,0.01090676
1996,1,30,0.006858353
1996,1,31,0.03382462
1996,1,32,0.03848496
1996,1,33,0.005618332
1996,1,34,0.05960975
1996,1,35,0.001452245
1996,1,36,0.005857236
1996,1,37,0.003555917
1996,1,38,0.002894946
1996,1,39,7.38E-08
1996,1,40,0.0551225
1996,1,42,0.000587188
1996,1,43,4.16E-05
1996,1,46,2.24E-08
1996,1,47,0.001206766
1996,1,49,2.56E-05
1996,1,50,0.001029794
1996,1,52,4.67E-06
1996,2,6,0.002538637
1996,2,8,0.003730436
1996,2,9,3.37E-07
1996,2,10,0.006904267
1996,2,12,8.14E-08
1996,2,13,0.001226427
1996,2,14,3.24E-05
1996,2,15,0.001045067
1996,2,16,2.27E-06
1996,2,17,1.19E-05
1996,2,18,4.12E-05
1996,2,22,4.65E-08
1996,2,24,4.95E-06
1996,2,26,0.000301508
1996,2,27,0.001319546
1996,2,28,4.47E-05
1996,2,29,0.000173364
1996,2,30,0.009435101
1996,2,31,0.000152753
1996,2,37,6.73E-08
1996,2,38,0.000114252
1996,2,40,0.000293333
1996,2,41,0.006424211
1996,2,42,0.000216183
1996,2,43,0.03864912
1996,2,45,5.07E-05
1996,2,47,3.76E-06
1996,2,48,1.79E-06
1996,2,50,1.03E-07
1996,3,6,0.09267995
1996,3,7,0.02011204
1996,3,8,0.00010428
1996,3,9,3.03E-06
1996,3,13,0.001221348
1996,3,16,3.26E-07
1996,3,17,3.34E-07
1996,3,18,9.47E-05
1996,3,19,0.000494605
1996,3,24,9.73E-06
1996,3,25,9.88E-08
1996,3,26,4.58E-05
1996,3,27,0.005440515
1996,3,28,3.56E-05
1996,3,29,8.19E-05
1996,3,30,0.01398775
1996,3,31,6.70E-07
1996,3,40,0.001948611
1996,3,41,2.42E-06
1996,3,42,6.03E-05
1996,3,43,0.000767857
1996,3,45,0.000185801
1996,3,47,3.31E-07
1996,4,3,0.000801225
1996,4,6,6.32E-07
1996,4,7,0.000162381
1996,4,8,0.001340905
1996,4,9,0.000287333
1996,4,10,5.04E-05
1996,4,12,6.04E-05
1996,4,13,6.79E-05
1996,4,14,0.001676024
1996,4,15,1.21E-05
1996,4,16,0.000595941
1996,4,17,0.006384288
1996,4,18,0.000881818
1996,4,19,0.000734458
1996,4,20,0.000153846
1996,4,21,1.14E-05
1996,4,22,1.82E-05
1996,4,23,3.37E-05
1996,4,24,5.61E-06
1996,4,25,2.21E-06
1996,4,26,5.57E-05
1996,4,27,0.001864871
1996,4,28,0.000318627
1996,4,29,0.006832016
1996,4,40,4.72E-05
1996,4,42,3.51E-05
1996,4,43,0.000908772
1996,4,45,7.69E-06
1996,4,47,0.00010269
1996,4,48,0.000160659
1996,4,49,1.62E-05
1996,4,50,0.000141628
1996,4,52,4.45E-06
1996,5,3,0.000374211
1996,5,8,0.000196555
1996,5,9,4.85E-05
1996,5,10,0.00284501
1996,5,12,0.00010447
1996,5,13,0.004181027
1996,5,14,0.001762507
1996,5,15,8.67E-06
1996,5,16,1.57E-05
1996,5,17,0.002865946
1996,5,18,0.000602576
1996,5,19,0.001478798
1996,5,20,7.46E-05
1996,5,21,5.33E-06
1996,5,22,2.22E-06
1996,5,23,1.16E-06
1996,5,24,6.11E-08
1996,5,25,2.50E-06
1996,5,26,0.000852867
1996,5,27,0.000361538
1996,5,29,0.00018603
1996,5,30,9.90E-05
1996,5,31,0.002692014
1996,5,33,0.000132675
1996,5,47,0.00012362
1996,5,48,3.51E-05
1996,5,49,1.26E-05
1996,5,50,0.000180267
1996,5,52,3.88E-07
1996,6,50,0.000653281
1996,8,8,1.68E-07
1996,8,13,0.001168989
1996,8,16,6.59E-06
1996,8,24,5.35E-07
1996,8,27,0.000884835
1996,8,29,1.98E-07
1996,8,47,3.62E-06
1996,8,50,1.16E-05
1996,9,8,0.004568109
1996,9,9,0.007137017
1996,9,10,0.00018818
1996,9,12,5.08E-07
1996,9,13,0.000177245
1996,9,14,0.001013818
1996,9,15,1.07E-05
1996,9,16,0.000305437
1996,9,17,0.03364848
1996,9,18,7.73E-05
1996,9,19,2.96E-05
1996,9,20,0.003884268
1996,9,21,0.000117616
1996,9,22,0.004040111
1996,9,24,0.001914309
1996,9,25,4.23E-06
1996,9,26,0.005172684
1996,9,27,0.001610256
1996,9,28,0.000326735
1996,9,29,2.00E-05
