"species_id","Year","Production","Group","PelDemID","PISCZOOPL","Linf_cm","MaxAge_yr","IsDetritus","Classification","isHub","Class_Code","biomass_tonnes","catch_tonnes","landings_tonnes","consumption","MaxAllow","MaxGreenBand","MinGreenBand","RealMax","RealMin","catch","DistortScore","RefM","RefB","RefBo","Rel_B","Min_B","Max_B","B_Score"
"13",1997,0.11128861552443,"Ling","Demersal","Piscivorous",200,30,0,"Target",0,5,1587950.83,75757.204,73095.1946,2.455945,0.055644307762215,0.0274211908561347,0.000274211908561347,0.0274211908561347,0.000274211908561347,0.02047492,"A",0.3360603,1.27808895,4728929.115,0.33579501645797,0.4,0.5,"F"
"13",2000,0.11292099768276,"Ling","Demersal","Piscivorous",200,30,0,"Target",0,5,1470351.88,68144.602,66083.3246,2.58936,0.05646049884138,0.0280830950179851,0.000280830950179851,0.0280830950179851,0.000280830950179851,0.01841746,"A",0.3360603,1.27808895,4728929.115,0.31092702898339,0.4,0.5,"F"
"13",1998,0.11022644285175,"Ling","Demersal","Piscivorous",200,30,0,"Target",0,5,1550953.05,67065.016,65675.7474,2.495945,0.055113221425875,0.0269938063477966,0.000269938063477966,0.0269938063477966,0.000269938063477966,0.01812568,"A",0.3360603,1.27808895,4728929.115,0.327971304344662,0.4,0.5,"F"
"13",1995,0.10495764708462,"Ling","Demersal","Piscivorous",200,30,0,"Target",0,5,1637499.38,65863.256,62283.3062,2.407344,0.05247882354231,0.0249127157746064,0.000249127157746064,0.0249127157746064,0.000249127157746064,0.01780088,"A",0.3360603,1.27808895,4728929.115,0.346272769199671,0.4,0.5,"F"
"14",1998,0.11531341759004,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5,1374945.16,41711.358,28292.9084,2.851528,0.05765670879502,0.0290642542462973,0.000290642542462973,0.0290642542462973,0.000290642542462973,0.01127334,"A",0.3920872,0.8357426,3092247.62,0.44464264475689,0.4,0.5,"A"
"14",1996,0.11631622778322,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5,1420878.07,48053.232,32321.0355,2.812293,0.05815811389161,0.0294794126652543,0.000294794126652543,0.0294794126652543,0.000294794126652543,0.01298736,"A",0.3920872,0.8357426,3092247.62,0.459496859439737,0.4,0.5,"A"
"14",1995,0.1143492085671,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5,1435640.7,45069.848,30332.2152,2.802597,0.05717460428355,0.0286672425650752,0.000286672425650752,0.0286672425650752,0.000286672425650752,0.01218104,"A",0.3920872,0.8357426,3092247.62,0.464270937008596,0.4,0.5,"A"
"14",1999,0.1151426914564,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5,1350168.85,40196.504,27333.2098,2.875289,0.0575713457282,0.028993803103249,0.00028993803103249,0.028993803103249,0.00028993803103249,0.01086392,"A",0.3920872,0.8357426,3092247.62,0.436630249552913,0.4,0.5,"A"
"14",1997,0.11683768381804,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5,1398654.76,48233.644,32679.7912,2.830853,0.05841884190902,0.0296961982603221,0.000296961982603221,0.0296961982603221,0.000296961982603221,0.01303612,"A",0.3920872,0.8357426,3092247.62,0.452310077289347,0.4,0.5,"A"
"14",2000,0.116376683245,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5,1318865,46068.182,31058.6769,2.911367,0.0581883416225,0.0295045141813663,0.000295045141813663,0.0295045141813663,0.000295045141813663,0.01245086,"A",0.3920872,0.8357426,3092247.62,0.426506917321194,0.4,0.5,"A"
